id,gram,termID
19,dow,"[4, 953, 1912, 2698, 3123, 3466, 3733, 3985, 4488, 4996, 5303, 5305, 5825, 5867, 6120, 6575, 6943, 7059, 7665, 8983, 9264, 9338, 9581, 9926, 9990, 10164, 10259, 10344, 10659, 10915, 11678, 11963, 12706]"
20,ow$,"[4, 52, 176, 260, 896, 942, 1180, 1516, 1599, 1605, 1641, 1771, 1851, 2127, 2380, 2704, 3331, 3563, 4902, 4939, 4996, 5181, 5649, 6106, 6241, 6312, 6406, 6986, 7108, 7520, 7904, 8540, 8983, 9264, 10164, 10414, 10424, 10680, 11091, 11150, 12039, 12084, 12262]"
21,$lt,"[5, 5550, 9834]"
22,ltd,[5]
23,td$,"[5, 10258]"
24,$sa,"[6, 66, 120, 172, 501, 1211, 1319, 1342, 1513, 1725, 1987, 2006, 2072, 2122, 2171, 2174, 2322, 2519, 3074, 3117, 3177, 3240, 3332, 3665, 3930, 3991, 4097, 4322, 4480, 4549, 4772, 5162, 5171, 5317, 5357, 5361, 5482, 5491, 5523, 5604, 5783, 5869, 5910, 5915, 6185, 6448, 6468, 6583, 6625, 6765, 6802, 7162, 7433, 7434, 7487, 7506, 7517, 7564, 7580, 7792, 7966, 7976, 7996, 8068, 8155, 8162, 8229, 8385, 8450, 8545, 8689, 8839, 9214, 9262, 9271, 9402, 9580, 9597, 9756, 9801, 9852, 9945, 10051, 10145, 10420, 10432, 10501, 10545, 10547, 10590, 10714, 10733, 10754, 10782, 10949, 11028, 11042, 11357, 11534, 11551, 11616, 11715, 11795, 11874, 11919, 11976, 11994, 12289, 12563, 12565, 12584, 12645]"
25,sai,"[6, 3177, 5614, 7433, 7580, 8068, 8229, 9133, 9186, 9294, 10467]"
26,aid,"[6, 129, 1050, 2013, 3513, 4471, 4507, 4987, 5239, 5659, 7549, 7694, 8272, 9010, 11519, 11752, 12225]"
27,id$,"[6, 129, 534, 690, 779, 1554, 1799, 2013, 2107, 2368, 3052, 3244, 4507, 4570, 4725, 4918, 4987, 5301, 5659, 6083, 6195, 6821, 7482, 7694, 8855, 9010, 10186, 10351, 10490, 10622, 11526, 11885, 11966, 12553]"
28,$ex,"[7, 34, 148, 179, 237, 254, 301, 305, 432, 533, 710, 711, 784, 810, 914, 986, 1183, 1296, 1325, 1460, 1475, 1510, 1622, 1736, 1800, 1823, 1828, 1846, 1853, 1906, 2024, 2031, 2058, 2321, 2375, 2415, 2439, 2479, 2556, 2644, 2742, 2779, 2793, 2824, 2851, 2888, 2925, 2986, 3018, 3152, 3154, 3156, 3183, 3252, 3264, 3297, 3469, 3492, 3517, 3539, 3546, 3556, 3566, 3638, 3670, 3720, 3867, 3871, 3880, 3881, 3899, 3926, 3961, 4059, 4110, 4114, 4179, 4186, 4309, 4386, 4390, 4405, 4419, 4474, 4506, 4681, 4699, 4741, 4792, 4836, 4891, 4953, 4992, 5022, 5082, 5194, 5313, 5384, 5465, 5861, 5923, 6003, 6026, 6070, 6261, 6384, 6446, 6594, 6599, 6654, 6660, 6708, 6727, 6828, 7392, 7491, 7513, 8145, 8204, 8364, 8365, 8490, 8686, 8705, 8707, 8717, 8951, 9030, 9170, 9206, 9242, 9354, 9363, 9418, 9617, 9633, 9722, 9783, 9907, 9999, 10003, 10072, 10443, 10736, 10737, 10797, 10836, 10894, 10943, 10961, 11092, 11119, 11224, 11261, 11560, 11675, 11779, 12066, 12203, 12261, 12291, 12396, 12490, 12492]"
29,exp,"[7, 148, 179, 254, 301, 305, 533, 914, 986, 1296, 1325, 1460, 1510, 1622, 1736, 1823, 1828, 1906, 2024, 2375, 2644, 2793, 2986, 3018, 3319, 3469, 3546, 3638, 3720, 3867, 3871, 3881, 4059, 4110, 4114, 4186, 4205, 4309, 4405, 4419, 4891, 4953, 5082, 5194, 5861, 5870, 6026, 6070, 6446, 6594, 6727, 6828, 7255, 7491, 7513, 8204, 9030, 9170, 9206, 9354, 9633, 9722, 9783, 10003, 10072, 10736, 10737, 10943, 11092, 11119, 11261, 12396]"
30,xpe,"[7, 254, 301, 305, 533, 1736, 1823, 1828, 2375, 2793, 3319, 3469, 3638, 4205, 4405, 4953, 5082, 5861, 5870, 6727, 7255, 9783, 10072, 11092, 12396]"
31,pec,"[7, 223, 254, 301, 305, 382, 485, 526, 533, 680, 716, 770, 1059, 1142, 1218, 1465, 2351, 2436, 2464, 2481, 2766, 2783, 3438, 3621, 4107, 4172, 4193, 4205, 4335, 4352, 4353, 4545, 4855, 5177, 5205, 5238, 5870, 6255, 6423, 6973, 7136, 7437, 7496, 7619, 8055, 9024, 9279, 10182, 10514, 10599, 10604, 10708, 11297, 11520, 11898, 11900, 11902, 11918, 12011, 12104, 12305, 12396]"
32,ect,"[7, 38, 51, 140, 182, 197, 227, 254, 301, 305, 309, 326, 482, 533, 572, 665, 697, 716, 740, 770, 786, 804, 821, 931, 1112, 1194, 1219, 1271, 1292, 1297, 1309, 1487, 1604, 1609, 1659, 1720, 1812, 1882, 1969, 2154, 2204, 2243, 2358, 2384, 2448, 2594, 2715, 2766, 2783, 2786, 2812, 2930, 2997, 3116, 3168, 3452, 3493, 3606, 3678, 3760, 3776, 3777, 3893, 3931, 3951, 4054, 4094, 4107, 4165, 4176, 4205, 4304, 4335, 4352, 4353, 4404, 4550, 4552, 4603, 4679, 4683, 4799, 4855, 4961, 4978, 5062, 5085, 5155, 5177, 5193, 5205, 5233, 5260, 5355, 5425, 5485, 5496, 5576, 5597, 5870, 5939, 6007, 6046, 6071, 6112, 6255, 6460, 6601, 6684, 6698, 6810, 6965, 7044, 7136, 7145, 7179, 7437, 7590, 7635, 7655, 8055, 8336, 8369, 8382, 8562, 8676, 8715, 8725, 8760, 8854, 8948, 9108, 9184, 9201, 9526, 9904, 10110, 10113, 10143, 10159, 10376, 10514, 10586, 10604, 10664, 10708, 10786, 10887, 11043, 11196, 11580, 11603, 11734, 11749, 11805, 11827, 11828, 11898, 11900, 11902, 11918, 12011, 12104, 12181, 12216, 12247, 12347, 12396, 12574]"
33,$ea,"[8, 80, 295, 352, 366, 426, 803, 1128, 1195, 1230, 1266, 1372, 1373, 1432, 1494, 2090, 2134, 2190, 2803, 2992, 3328, 4479, 4682, 4878, 5130, 5806, 9025, 9654, 9888, 10430, 10597]"
34,ear,"[8, 76, 80, 133, 145, 210, 295, 361, 426, 462, 910, 1195, 1340, 1352, 1432, 1471, 1514, 1616, 1841, 1918, 2053, 2090, 2094, 2134, 2151, 2190, 2286, 2397, 2495, 2659, 3040, 3083, 3328, 3336, 3505, 3704, 4031, 4177, 4209, 4342, 4443, 4551, 4641, 4659, 5028, 5038, 5157, 5158, 5277, 5505, 5726, 5948, 6040, 6076, 6194, 6264, 6360, 6532, 6784, 6817, 7203, 7218, 7648, 7763, 7806, 7819, 7852, 8178, 8684, 8704, 9025, 9361, 9601, 9618, 9721, 9745, 9888, 10474, 10516, 10540, 10597, 10783, 11088, 11131, 11552, 11717, 11858, 12001, 12049, 12594, 12616]"
35,arl,"[8, 295, 881, 1299, 1352, 1432, 1514, 1958, 2778, 3336, 3646, 3892, 4371, 4383, 4519, 5028, 5934, 6011, 6360, 7103, 7640, 7785, 9635, 10119, 11019, 12150]"
36,rli,"[8, 1307, 1432, 1958, 2578, 2680, 2778, 3646, 6011, 6203, 7640, 8186, 8242, 9494, 10162, 10671]"
37,lie,"[8, 164, 177, 1127, 1432, 1451, 1850, 2247, 2256, 2405, 2506, 2895, 3242, 3501, 4250, 4844, 5048, 5263, 5915, 6430, 6491, 7193, 8119, 8777, 8996, 9145, 9269, 9415, 9508, 9865, 9974, 10343, 10617, 10842, 11005, 11241, 11277, 11758, 12211]"
38,ier,"[8, 1073, 1128, 1252, 1715, 2042, 2816, 2895, 3032, 3242, 3917, 3965, 4188, 4268, 5669, 6074, 6458, 6459, 6563, 6747, 8394, 8410, 8765, 8917, 9282, 9343, 10140, 10322, 10343, 10946, 11866, 11938, 12191, 12342]"
39,er$,"[8, 29, 45, 46, 85, 92, 94, 115, 142, 181, 192, 193, 210, 236, 249, 278, 285, 303, 312, 333, 334, 342, 358, 359, 363, 396, 405, 419, 464, 466, 502, 506, 509, 522, 550, 562, 566, 571, 595, 610, 662, 702, 705, 707, 736, 823, 866, 869, 892, 918, 920, 923, 932, 939, 971, 1034, 1054, 1062, 1073, 1092, 1097, 1102, 1120, 1121, 1128, 1344, 1369, 1397, 1402, 1431, 1433, 1443, 1452, 1493, 1523, 1528, 1550, 1553, 1555, 1562, 1569, 1590, 1597, 1635, 1642, 1650, 1653, 1665, 1669, 1690, 1705, 1708, 1715, 1727, 1738, 1765, 1784, 1803, 1876, 1890, 1892, 1896, 1909, 1918, 1921, 1979, 1998, 2021, 2024, 2040, 2053, 2069, 2080, 2134, 2162, 2165, 2184, 2189, 2203, 2233, 2255, 2339, 2378, 2392, 2406, 2415, 2444, 2472, 2505, 2522, 2540, 2557, 2622, 2636, 2671, 2684, 2689, 2691, 2699, 2716, 2718, 2736, 2749, 2758, 2760, 2781, 2785, 2796, 2816, 2870, 2887, 2895, 2910, 2915, 2958, 2967, 2980, 2982, 3019, 3026, 3032, 3060, 3098, 3106, 3107, 3118, 3147, 3149, 3174, 3186, 3187, 3195, 3222, 3242, 3293, 3308, 3320, 3342, 3353, 3355, 3359, 3366, 3373, 3384, 3393, 3396, 3421, 3428, 3453, 3485, 3513, 3549, 3584, 3647, 3672, 3676, 3682, 3717, 3750, 3754, 3789, 3792, 3804, 3863, 3872, 3914, 3917, 3965, 4047, 4062, 4071, 4115, 4127, 4142, 4161, 4188, 4211, 4217, 4268, 4269, 4354, 4362, 4407, 4479, 4484, 4500, 4504, 4509, 4520, 4565, 4581, 4593, 4663, 4685, 4698, 4707, 4708, 4719, 4780, 4802, 4845, 4848, 4850, 4861, 4917, 4925, 4943, 4946, 5007, 5011, 5130, 5148, 5206, 5208, 5302, 5313, 5322, 5446, 5467, 5468, 5521, 5553, 5555, 5580, 5583, 5587, 5628, 5647, 5743, 5790, 5828, 5833, 5834, 5836, 5947, 5950, 5968, 6009, 6016, 6063, 6107, 6163, 6166, 6172, 6189, 6192, 6193, 6216, 6248, 6259, 6279, 6283, 6287, 6341, 6346, 6351, 6387, 6388, 6400, 6422, 6454, 6455, 6458, 6459, 6505, 6545, 6563, 6582, 6605, 6617, 6619, 6632, 6689, 6700, 6717, 6760, 6813, 6817, 6823, 6842, 6944, 6964, 6984, 7024, 7054, 7178, 7190, 7210, 7223, 7268, 7376, 7379, 7404, 7443, 7470, 7471, 7483, 7485, 7528, 7530, 7562, 7564, 7567, 7569, 7570, 7593, 7603, 7641, 7684, 7690, 7693, 7706, 7710, 7744, 7782, 7807, 7812, 7816, 7828, 7840, 7853, 7916, 7924, 7992, 8047, 8053, 8131, 8175, 8179, 8186, 8194, 8203, 8260, 8273, 8305, 8339, 8345, 8371, 8383, 8390, 8418, 8425, 8438, 8468, 8477, 8482, 8501, 8521, 8558, 8570, 8572, 8593, 8628, 8670, 8709, 8761, 8765, 8766, 8788, 8795, 8830, 8837, 8861, 8901, 8905, 8918, 8919, 8927, 8934, 8957, 8975, 8982, 9014, 9039, 9068, 9094, 9158, 9177, 9249, 9271, 9282, 9286, 9300, 9343, 9364, 9389, 9426, 9453, 9584, 9596, 9597, 9606, 9634, 9652, 9731, 9734, 9738, 9804, 9808, 9813, 9926, 9938, 9943, 9946, 9952, 10019, 10029, 10036, 10050, 10063, 10107, 10137, 10142, 10178, 10283, 10298, 10309, 10322, 10324, 10336, 10339, 10362, 10381, 10427, 10432, 10436, 10449, 10463, 10480, 10481, 10514, 10525, 10553, 10616, 10618, 10671, 10674, 10709, 10716, 10725, 10738, 10764, 10767, 10772, 10806, 10808, 10814, 10835, 10859, 10895, 10946, 10955, 10973, 10974, 10977, 10995, 11012, 11026, 11033, 11036, 11039, 11062, 11096, 11109, 11134, 11155, 11194, 11198, 11248, 11258, 11314, 11317, 11359, 11385, 11415, 11416, 11422, 11440, 11490, 11522, 11535, 11543, 11574, 11598, 11601, 11631, 11653, 11654, 11657, 11660, 11662, 11663, 11666, 11688, 11720, 11726, 11728, 11739, 11744, 11748, 11759, 11762, 11776, 11793, 11797, 11804, 11866, 11880, 11938, 11960, 11984, 11999, 12020, 12028, 12062, 12092, 12107, 12122, 12140, 12141, 12142, 12146, 12165, 12167, 12177, 12204, 12208, 12213, 12227, 12234, 12255, 12278, 12300, 12315, 12332, 12342, 12365, 12368, 12403, 12426, 12434, 12435, 12439, 12445, 12448, 12476, 12494, 12522, 12545, 12555, 12561, 12585, 12586, 12613, 12682, 12686, 12689, 12699, 12721, 12726, 12728, 12731]"
